LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
853,592305700,Exxon,Exxon,MIDDLETOWN,NY,US,41.45344,-74.40356
854,973470800,Mobil,Mobil,SLATE HILL,NY,US,41.39816,-74.46147
855,882615800,Sunoco,Sunoco,MIDDLETOWN,NY,US,41.430883,-74.423119
856,442332300,Mobil,Mobil,ALBANY,NY,US,42.62424,-73.82796
857,299406900,Mobil,Mobil,HARRIMAN,NY,US,41.30305,-74.14585
858,54338900,Mobil,Mobil,HIGHLAND MILLS,NY,US,41.34621,-74.12697
859,750388100,Exxon,Exxon,CHESTERTOWN,NY,US,43.65285,-73.80046
860,730658200,Unknown,Unknown,ALBANY,NY,US,42.6349,-73.7549
861,255174500,Unknown,Unknown,MAHOPAC,NY,US,41.35246,-73.74907
862,448526400,Sunoco,Sunoco,HILLSDALE,NJ,US,41.01019,-74.04193
863,696694900,Unknown,Unknown,COLONIE,NY,US,42.72514,-73.84281
864,176204600,Unknown,Unknown,ALBANY,NY,US,42.67533,-73.78403
865,951590900,Sunoco,Sunoco,WALLKILL,NY,US,41.60291,-74.18254
866,203475900,Mobil,Mobil,CARMEL,NY,US,41.41497,-73.67059
867,782453500,Exxon,Exxon,GANSEVOORT,NY,US,43.23883,-73.68684
868,636886400,Exxon,Exxon,CIRCLEVILLE,NY,US,41.49403,-74.40339
869,850860800,Mobil,Mobil,NORTH CREEK,NY,US,43.68134,-73.97194
870,658661400,Exxon,Exxon,LAKE GEORGE,NY,US,43.4145,-73.71249
871,208143800,Mobil,Mobil,POTTERSVILLE,NY,US,43.72305,-73.8244
